date,UMDF Channel Derivatives,Number of Messages,Maximum MPS (msgs/sec),Estimated Max Bandwidth (Mbps),MPS (msgs/sec),Bandwidth (Mbps)
20200302,Peak of Messages - 13:11:30,0,0,0,7574,"   5,3933"
20200302,MBO Ch.1 - FX Futures,0,0,0,1379,"   0,9182 "
20200302,MBO Ch.2 - FX Options,0,0,0,416,"   0,2328 "
20200302,MBO Ch.3 - Interest rate Futures,0,0,0,143,"   0,0876 "
20200302,MBO Ch.4 - Interest rate Option,0,0,0,1,"   0,0002 "
20200302,MBO Ch.5 - Commodity Futures,0,0,0,30,"   0,0200 "
20200302,MBO Ch.6 - Commodity Options,0,0,0,1,"   0,0002 "
20200302,MBO Ch.7 - Equity Index Futures,0,0,0,1325,"   0,8264 "
20200302,MBO Ch.8 - Market Maker Program,0,0,0,348,"   0,2329 "
20200302,MBO Ch.9 - FX Spot,0,0,0,0,0 
20200302,MBO Ch.10 - Equity Index Fut-mini,0,0,0,3931,"   3,0749 "
20200303,Peak of Messages -,0,0,0,0,
20200303,MBO Ch.1 - FX Futures,4.748.924,3.001,"   2,0428",0,0 
20200303,MBO Ch.2 - FX Options,1.094.487,1.361,"   0,8872",0,0 
20200303,MBO Ch.3 - Interest rate Futures,2.285.414,7.942,"   4,8088",0,0 
20200303,MBO Ch.4 - Interest rate Option,71.917,935,"   0,6272",0,0 
20200303,MBO Ch.5 - Commodity Futures,87.295,122,"   0,0964",0,0 
20200303,MBO Ch.6 - Commodity Options,47.427,1.271,"   0,8302",0,0 
20200303,MBO Ch.7 - Equity Index Futures,5.780.751,1.809,"   1,1659",0,0 
20200303,MBO Ch.8 - Market Maker Program,5.922.085,574,"   0,3883",0,0 
20200303,MBO Ch.9 - FX Spot,2.367,13,"   0,0049",0,0 
20200303,MBO Ch.10 - Equity Index Fut-mini,22.295.218,3.686,"   3,1732",0,0 
20200306,Peak of Messages - 11:30:00,0,0,0,7918,"   5,3774"
20200306,MBO Ch.1 - FX Futures,4.166.991,2.856,"   2,4004",528,"   0,3461 "
20200306,MBO Ch.2 - FX Options,1.181.415,1.423,"   0,9252",1260,"   0,8446 "
20200306,MBO Ch.3 - Interest rate Futures,3.000.415,6.678,"   3,9533",34,"   0,0186 "
20200306,MBO Ch.4 - Interest rate Option,75.311,935,"   0,6224",752,"   0,4982 "
20200306,MBO Ch.5 - Commodity Futures,69.645,84,"   0,0597",14,"   0,0088 "
20200306,MBO Ch.6 - Commodity Options,48.099,1.695,"   1,1153",332,"   0,2171 "
20200306,MBO Ch.7 - Equity Index Futures,5.162.950,1.216,"   0,7613",788,"   0,4679 "
20200306,MBO Ch.8 - Market Maker Program,4.527.307,650,"   0,3860",212,"   0,1497 "
20200306,MBO Ch.9 - FX Spot,2.982,15,"   0,0050",2,"   0,0013 "
20200306,MBO Ch.10 - Equity Index Fut-mini,20.399.414,5.175,"   3,7134",3996,"   2,8250 "
20200309,Peak of Messages -,0,0,0,0,
20200309,MBO Ch.1 - FX Futures,0,0,0,0,0 
20200309,MBO Ch.2 - FX Options,0,0,0,0,0 
20200309,MBO Ch.3 - Interest rate Futures,0,0,0,0,0 
20200309,MBO Ch.4 - Interest rate Option,0,0,0,0,0 
20200309,MBO Ch.5 - Commodity Futures,0,0,0,0,0 
20200309,MBO Ch.6 - Commodity Options,0,0,0,0,0 
20200309,MBO Ch.7 - Equity Index Futures,0,0,0,0,0 
20200309,MBO Ch.8 - Market Maker Program,0,0,0,0,0 
20200309,MBO Ch.9 - FX Spot,0,0,0,0,0 
20200309,MBO Ch.10 - Equity Index Fut-mini,0,0,0,0,0 
20200310,Peak of Messages -,0,0,0,0,
20200310,MBO Ch.1 - FX Futures,0,0,0,0,0 
20200310,MBO Ch.2 - FX Options,0,0,0,0,0 
20200310,MBO Ch.3 - Interest rate Futures,0,0,0,0,0 
20200310,MBO Ch.4 - Interest rate Option,0,0,0,0,0 
20200310,MBO Ch.5 - Commodity Futures,0,0,0,0,0 
20200310,MBO Ch.6 - Commodity Options,0,0,0,0,0 
20200310,MBO Ch.7 - Equity Index Futures,0,0,0,0,0 
20200310,MBO Ch.8 - Market Maker Program,0,0,0,0,0 
20200310,MBO Ch.9 - FX Spot,0,0,0,0,0 
20200310,MBO Ch.10 - Equity Index Fut-mini,0,0,0,0,0 
20200311,Peak of Messages -,0,0,0,0,
20200311,MBO Ch.1 - FX Futures,0,0,0,0,0 
20200311,MBO Ch.2 - FX Options,0,0,0,0,0 
20200311,MBO Ch.3 - Interest rate Futures,0,0,0,0,0 
20200311,MBO Ch.4 - Interest rate Option,0,0,0,0,0 
20200311,MBO Ch.5 - Commodity Futures,0,0,0,0,0 
20200311,MBO Ch.6 - Commodity Options,0,0,0,0,0 
20200311,MBO Ch.7 - Equity Index Futures,0,0,0,0,0 
20200311,MBO Ch.8 - Market Maker Program,0,0,0,0,0 
20200311,MBO Ch.9 - FX Spot,0,0,0,0,0 
20200311,MBO Ch.10 - Equity Index Fut-mini,0,0,0,0,0 
