date,UMDF Channel Equities,Number of Messages,Maximum MPS (msgs/sec),Estimated Max Bandwidth (Mbps),MPS (msgs/sec),Bandwidth (Mbps)
20200302,Peak of Messages -,0,0,0,0,
20200302,"MBO Ch.51 - Mining - cash, termo, auction",0,0,0,0,0
20200302,"MBO Ch.52 - Mining - options, exercise, strategies",0,0,0,0,0
20200302,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",0,0,0,0,0
20200302,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",0,0,0,0,0
20200302,"MBO Ch.55 - Banks - cash, termo, auction",0,0,0,0,0
20200302,"MBO Ch.56 - Banks - options, exercise, strategies",0,0,0,0,0
20200302,"MBO Ch.57 - Other instruments - cash, termo, auction",0,0,0,0,0
20200302,"MBO Ch.58 - Other instruments - options, exercise, strategies",0,0,0,0,0
20200302,MBO Ch.59 - OTC,0,0,0,0,0
20200302,MBO Ch.60 - IBOVESPA Options,0,0,0,0,0
20200302,MBO Ch.62 - Index e Iopv,0,0,0,0,0
20200303,Peak of Messages -,0,0,0,0,
20200303,"MBO Ch.51 - Mining - cash, termo, auction",3.690.871,1.603,"   1,2535",0,0
20200303,"MBO Ch.52 - Mining - options, exercise, strategies",31.706.996,11.463,"   6,6566",0,0
20200303,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",4.034.760,1.938,"   1,2830",0,0
20200303,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",17.977.589,10.968,"   6,8386",0,0
20200303,"MBO Ch.55 - Banks - cash, termo, auction",20.007.910,2.922,"   2,3973",0,0
20200303,"MBO Ch.56 - Banks - options, exercise, strategies",13.338.914,4.728,"   2,9325",0,0
20200303,"MBO Ch.57 - Other instruments - cash, termo, auction",22.714.468,3.541,"   4,9434",0,0
20200303,"MBO Ch.58 - Other instruments - options, exercise, strategies",6.475.833,3.725,"   2,4150",0,0
20200303,MBO Ch.59 - OTC,38.970,88,"   0,0880",0,0
20200303,MBO Ch.60 - IBOVESPA Options,22.640.325,5.167,"   3,3995",0,0
20200303,MBO Ch.62 - Index e Iopv,3.485,38,"   0,0456",0,0
20200306,Peak of Messages - 15:45:45,0,0,0,27291,"  17,1585"
20200306,"MBO Ch.51 - Mining - cash, termo, auction",3.436.168,1.375,"   1,3903",1375,"   0,9699"
20200306,"MBO Ch.52 - Mining - options, exercise, strategies",30.191.768,8.526,"   5,1082",8075,"   4,9748"
20200306,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",3.326.713,1.380,"   1,0891",699,"   0,4719"
20200306,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",15.837.644,7.538,"   4,3765",2607,"   1,6354"
20200306,"MBO Ch.55 - Banks - cash, termo, auction",17.392.990,2.816,"   2,5955",2214,"   1,4836"
20200306,"MBO Ch.56 - Banks - options, exercise, strategies",12.138.414,6.463,"   4,0651",4014,"   2,5503"
20200306,"MBO Ch.57 - Other instruments - cash, termo, auction",22.458.835,3.794,"   4,0460",3379,"   2,0286"
20200306,"MBO Ch.58 - Other instruments - options, exercise, strategies",6.009.791,3.082,"   1,9148",1900,"   1,1458"
20200306,MBO Ch.59 - OTC,22.996,80,"   0,0772",1,"   0,0007"
20200306,MBO Ch.60 - IBOVESPA Options,13.514.807,4.050,"   2,7888",3027,"   1,8975"
20200306,MBO Ch.62 - Index e Iopv,3.516,24,"   0,0381",0,0
20200309,Peak of Messages -,0,0,0,0,
20200309,"MBO Ch.51 - Mining - cash, termo, auction",0,0,0,0,0
20200309,"MBO Ch.52 - Mining - options, exercise, strategies",0,0,0,0,0
20200309,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",0,0,0,0,0
20200309,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",0,0,0,0,0
20200309,"MBO Ch.55 - Banks - cash, termo, auction",0,0,0,0,0
20200309,"MBO Ch.56 - Banks - options, exercise, strategies",0,0,0,0,0
20200309,"MBO Ch.57 - Other instruments - cash, termo, auction",0,0,0,0,0
20200309,"MBO Ch.58 - Other instruments - options, exercise, strategies",0,0,0,0,0
20200309,MBO Ch.59 - OTC,0,0,0,0,0
20200309,MBO Ch.60 - IBOVESPA Options,0,0,0,0,0
20200309,MBO Ch.62 - Index e Iopv,0,0,0,0,0
20200310,Peak of Messages -,0,0,0,0,
20200310,"MBO Ch.51 - Mining - cash, termo, auction",0,0,0,0,0
20200310,"MBO Ch.52 - Mining - options, exercise, strategies",0,0,0,0,0
20200310,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",0,0,0,0,0
20200310,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",0,0,0,0,0
20200310,"MBO Ch.55 - Banks - cash, termo, auction",0,0,0,0,0
20200310,"MBO Ch.56 - Banks - options, exercise, strategies",0,0,0,0,0
20200310,"MBO Ch.57 - Other instruments - cash, termo, auction",0,0,0,0,0
20200310,"MBO Ch.58 - Other instruments - options, exercise, strategies",0,0,0,0,0
20200310,MBO Ch.59 - OTC,0,0,0,0,0
20200310,MBO Ch.60 - IBOVESPA Options,0,0,0,0,0
20200310,MBO Ch.62 - Index e Iopv,0,0,0,0,0
20200311,Peak of Messages -,0,0,0,0,
20200311,"MBO Ch.51 - Mining - cash, termo, auction",0,0,0,0,0
20200311,"MBO Ch.52 - Mining - options, exercise, strategies",0,0,0,0,0
