date,UMDF Channel Derivatives,Number of Messages,Maximum MPS (msgs/sec),Estimated Max Bandwidth (Mbps),MPS (msgs/sec),Bandwidth (Mbps)
20200102,Peak of Messages - 10:38:52,0,0,0,5972,"   4,7986"
20200102,MBO Ch.1 - FX Futures,3.276.033,1.796,"   1,4784",218,"   0,1201 "
20200102,MBO Ch.2 - FX Options,371.684,1.091,"   0,7284",82,"   0,0508 "
20200102,MBO Ch.3 - Interest rate Futures,827.515,5.309,"   3,2295",63,"   0,0310 "
20200102,MBO Ch.4 - Interest rate Option,37.276,826,"   0,9503",0,0 
20200102,MBO Ch.5 - Commodity Futures,90.290,287,"   0,1458",0,0 
20200102,MBO Ch.6 - Commodity Options,57.575,1.584,"   1,0266",0,0 
20200102,MBO Ch.7 - Equity Index Futures,1.868.849,1.380,"   0,9208",1197,"   0,7868 "
20200102,MBO Ch.8 - Market Maker Program,2.372.265,340,"   0,2106",75,"   0,0555 "
20200102,MBO Ch.9 - FX Spot,2.182,13,"   0,0045",0,0 
20200102,MBO Ch.10 - Equity Index Fut-mini,10.399.439,4.552,"   3,7544",4337,"   3,7544 "
20200103,Peak of Messages - 11:26:29,0,0,0,9212,"   5,8986"
20200103,MBO Ch.1 - FX Futures,3.839.367,1.500,"   1,1855",680,"   0,5020 "
20200103,MBO Ch.2 - FX Options,475.600,1.179,"   0,7642",182,"   0,1023 "
20200103,MBO Ch.3 - Interest rate Futures,904.090,5.848,"   3,4760",5848,"   3,4760 "
20200103,MBO Ch.4 - Interest rate Option,36.005,817,"   0,5442",0,0 
20200103,MBO Ch.5 - Commodity Futures,95.560,228,"   0,1083",0,0 
20200103,MBO Ch.6 - Commodity Options,44.141,1.412,"   0,8585",0,0 
20200103,MBO Ch.7 - Equity Index Futures,2.357.011,1.258,"   0,8628",351,"   0,2191 "
20200103,MBO Ch.8 - Market Maker Program,2.763.689,639,"   0,3800",76,"   0,0566 "
20200103,MBO Ch.9 - FX Spot,2.448,14,"   0,0058",0,0 
20200103,MBO Ch.10 - Equity Index Fut-mini,13.000.048,4.779,"   3,7421",2075,"   1,5427 "
20200106,Peak of Messages - 16:05:29,0,0,0,8379,"   5,8766"
20200106,MBO Ch.1 - FX Futures,3.332.272,5.457,"   3,9405",5457,"   3,9405 "
20200106,MBO Ch.2 - FX Options,509.776,1.222,"   0,7984",563,"   0,3087 "
20200106,MBO Ch.3 - Interest rate Futures,808.360,7.390,"   4,5314",0,0 
20200106,MBO Ch.4 - Interest rate Option,30.487,770,"   0,5076",0,0 
20200106,MBO Ch.5 - Commodity Futures,123.570,205,"   0,1378",1,"   0,0007 "
20200106,MBO Ch.6 - Commodity Options,55.591,1.681,"   1,0275",0,0 
20200106,MBO Ch.7 - Equity Index Futures,2.497.386,1.570,"   1,0182",672,"   0,4405 "
20200106,MBO Ch.8 - Market Maker Program,2.596.944,634,"   0,3693",110,"   0,0765 "
20200106,MBO Ch.9 - FX Spot,2.570,13,"   0,0045",0,0 
20200106,MBO Ch.10 - Equity Index Fut-mini,12.256.911,4.731,"   4,1151",1576,"   1,1097 "
20200107,Peak of Messages - 10:12:07,0,0,0,8330,"   7,4070"
20200107,MBO Ch.1 - FX Futures,3.829.192,1.860,"   1,4573",803,"   0,6018 "
20200107,MBO Ch.2 - FX Options,527.982,1.399,"   0,9488",161,"   0,0943 "
20200107,MBO Ch.3 - Interest rate Futures,970.681,4.951,"   3,0031",75,"   0,0410 "
20200107,MBO Ch.4 - Interest rate Option,41.777,818,"   0,5399",0,0 
20200107,MBO Ch.5 - Commodity Futures,176.658,357,"   0,2494",0,0 
20200107,MBO Ch.6 - Commodity Options,58.876,2.000,"   1,3176",0,0 
20200107,MBO Ch.7 - Equity Index Futures,2.058.813,1.756,"   1,1019",1591,"   0,9585 "
20200107,MBO Ch.8 - Market Maker Program,2.608.554,578,"   0,3361",88,"   0,0623 "
20200107,MBO Ch.9 - FX Spot,2.344,13,"   0,0056",0,0 
20200107,MBO Ch.10 - Equity Index Fut-mini,10.443.232,5.612,"   5,6491",5612,"   5,6491 "
20200108,Peak of Messages - 09:55:19,0,0,0,10513,"   7,7619"
20200108,MBO Ch.1 - FX Futures,3.747.037,2.457,"   1,8906",653,"   0,5278 "
20200108,MBO Ch.2 - FX Options,1.137.539,1.423,"   0,9785",242,"   0,1277 "
20200108,MBO Ch.3 - Interest rate Futures,1.056.098,3.753,"   2,3974",3431,"   2,0864 "
